genre,horizon,n,point,ci_lo,ci_hi
crypto,12h,475,0.2399654242105263,0.23518927739473683,0.24452072184210524
crypto,1d,97,0.21648424484536077,0.19544087242268043,0.23808306353092787
crypto,1h,478,0.23761391684100416,0.23266913445345186,0.24224030358263599
economics,12h,222,0.16381365272618784,0.137028321382264,0.1924074028573373
economics,1d,209,0.17617066950779928,0.14714488466519826,0.20720589697444053
economics,1h,222,0.10278589072349167,0.08027864914712388,0.1266248525196281
politics,12h,460,0.06335549698479216,0.05042172845588275,0.0768294642848467
politics,1d,446,0.0893818917748181,0.07352093093182255,0.10608073260300055
politics,1h,461,0.031223991300417572,0.02166289552393127,0.041980281435592647
sports,12h,422,0.2111857624407583,0.19473311358116113,0.2284471657879147
sports,1d,364,0.21144201717032962,0.19334885880837913,0.2301780303228022
sports,1h,436,0.1049689231651376,0.0883767690510321,0.12229683156536696
